Name,sample_size,power
Mean timing of light above 250 lx (hh:mm),38,0.8
Mean timing of light above 250 lx (hh:mm),39,0.8
Mean timing of light above 250 lx (hh:mm),40,0.9
Mean timing of light above 250 lx (hh:mm),41,0.6
Mean timing of light above 250 lx (hh:mm),42,1
Mean timing of light above 250 lx (hh:mm),43,0.8
Mean timing of light above 250 lx (hh:mm),44,0.8
Mean timing of light above 250 lx (hh:mm),45,0.7
Mean timing of light above 250 lx (hh:mm),46,0.7
Mean timing of light above 250 lx (hh:mm),47,0.9
Mean timing of light above 250 lx (hh:mm),48,0.9
Mean timing of light above 250 lx (hh:mm),49,0.6
Mean timing of light above 250 lx (hh:mm),50,0.9
Mean timing of light below 10 lx (hh:mm),3,0.6
Mean timing of light below 10 lx (hh:mm),4,0.7
Mean timing of light below 10 lx (hh:mm),5,0.9
Mean timing of light below 10 lx (hh:mm),6,0.7
Mean timing of light below 10 lx (hh:mm),7,0.7
Mean timing of light below 10 lx (hh:mm),8,1
Mean timing of light below 10 lx (hh:mm),9,1
Mean timing of light below 10 lx (hh:mm),10,0.8
Mean timing of light below 10 lx (hh:mm),11,1
Mean timing of light below 10 lx (hh:mm),12,0.9
Mean timing of light below 10 lx (hh:mm),13,1
Mean timing of light below 10 lx (hh:mm),14,1
Mean timing of light below 10 lx (hh:mm),15,1
Mean timing of light below 10 lx (hh:mm),16,1
Mean timing of light below 10 lx (hh:mm),17,1
Mean timing of light below 10 lx (hh:mm),18,1
Mean timing of light below 10 lx (hh:mm),19,1
Mean timing of light below 10 lx (hh:mm),20,1
Mean timing of light below 10 lx (hh:mm),21,1
Mean timing of light below 10 lx (hh:mm),22,1
Mean timing of light below 10 lx (hh:mm),23,1
Mean timing of light below 10 lx (hh:mm),24,1
Mean timing of light below 10 lx (hh:mm),25,1
Mean timing of light below 10 lx (hh:mm),26,1
Mean timing of light below 10 lx (hh:mm),27,1
Mean timing of light below 10 lx (hh:mm),28,1
Mean timing of light below 10 lx (hh:mm),29,1
Mean timing of light below 10 lx (hh:mm),30,1
Mean timing of light below 10 lx (hh:mm),31,1
Mean timing of light below 10 lx (hh:mm),32,1
Mean timing of light below 10 lx (hh:mm),33,1
Mean timing of light below 10 lx (hh:mm),34,1
Mean timing of light below 10 lx (hh:mm),35,1
Mean timing of light below 10 lx (hh:mm),36,1
Mean timing of light below 10 lx (hh:mm),37,1
Mean timing of light below 10 lx (hh:mm),38,1
Mean timing of light below 10 lx (hh:mm),39,1
Mean timing of light below 10 lx (hh:mm),40,1
Mean timing of light below 10 lx (hh:mm),41,1
Mean timing of light below 10 lx (hh:mm),42,1
Mean timing of light below 10 lx (hh:mm),43,1
Mean timing of light below 10 lx (hh:mm),44,1
Mean timing of light below 10 lx (hh:mm),45,1
Mean timing of light below 10 lx (hh:mm),46,1
Mean timing of light below 10 lx (hh:mm),47,1
Mean timing of light below 10 lx (hh:mm),48,1
Mean timing of light below 10 lx (hh:mm),49,1
Mean timing of light below 10 lx (hh:mm),50,1
"Midpoint of brightest 10 hours (M10, hh:mm)",3,0.9
"Midpoint of brightest 10 hours (M10, hh:mm)",4,0.9
"Midpoint of brightest 10 hours (M10, hh:mm)",5,0.9
"Midpoint of brightest 10 hours (M10, hh:mm)",6,1
"Midpoint of brightest 10 hours (M10, hh:mm)",7,1
"Midpoint of brightest 10 hours (M10, hh:mm)",8,1
"Midpoint of brightest 10 hours (M10, hh:mm)",9,1
"Midpoint of brightest 10 hours (M10, hh:mm)",10,1
"Midpoint of brightest 10 hours (M10, hh:mm)",11,1
"Midpoint of brightest 10 hours (M10, hh:mm)",12,1
"Midpoint of brightest 10 hours (M10, hh:mm)",13,1
"Midpoint of brightest 10 hours (M10, hh:mm)",14,1
"Midpoint of brightest 10 hours (M10, hh:mm)",15,1
"Midpoint of brightest 10 hours (M10, hh:mm)",16,1
"Midpoint of brightest 10 hours (M10, hh:mm)",17,1
"Midpoint of brightest 10 hours (M10, hh:mm)",18,1
"Midpoint of brightest 10 hours (M10, hh:mm)",19,1
"Midpoint of brightest 10 hours (M10, hh:mm)",20,1
"Midpoint of brightest 10 hours (M10, hh:mm)",21,1
"Midpoint of brightest 10 hours (M10, hh:mm)",22,1
"Midpoint of brightest 10 hours (M10, hh:mm)",23,1
"Midpoint of brightest 10 hours (M10, hh:mm)",24,1
"Midpoint of brightest 10 hours (M10, hh:mm)",25,1
"Midpoint of brightest 10 hours (M10, hh:mm)",26,1
"Midpoint of brightest 10 hours (M10, hh:mm)",27,1
"Midpoint of brightest 10 hours (M10, hh:mm)",28,1
"Midpoint of brightest 10 hours (M10, hh:mm)",29,1
"Midpoint of brightest 10 hours (M10, hh:mm)",30,1
"Midpoint of brightest 10 hours (M10, hh:mm)",31,1
"Midpoint of brightest 10 hours (M10, hh:mm)",32,1
"Midpoint of brightest 10 hours (M10, hh:mm)",33,1
"Midpoint of brightest 10 hours (M10, hh:mm)",34,1
"Midpoint of brightest 10 hours (M10, hh:mm)",35,1
"Midpoint of brightest 10 hours (M10, hh:mm)",36,1
"Midpoint of brightest 10 hours (M10, hh:mm)",37,1
"Midpoint of brightest 10 hours (M10, hh:mm)",38,1
"Midpoint of brightest 10 hours (M10, hh:mm)",39,1
"Midpoint of brightest 10 hours (M10, hh:mm)",40,1
"Midpoint of brightest 10 hours (M10, hh:mm)",41,1
"Midpoint of brightest 10 hours (M10, hh:mm)",42,1
"Midpoint of brightest 10 hours (M10, hh:mm)",43,1
"Midpoint of brightest 10 hours (M10, hh:mm)",44,1
"Midpoint of brightest 10 hours (M10, hh:mm)",45,1
